Company Name,Year,Revenue,COS,A/R,A/P,Inventory,NI,CA,#NAME?,CL,GOI,ROA,CR,QR,RD,PD,ID,CCC,Size=Logarithm of assets,ID,t,net profit margin,Mean,Ind Avg.,gross profit margin,Mean,Ind. Avg.,ROA,Mean,Ind. Avg.
ETL,2015,"1,517,655,259","1,121,189,659","639,830,436","80,267,390","463,521,241","106,236,088","1,284,075,244","3,281,511,417","1,321,084,457",396.47,0.03,0.97,0.62,151.77,25.77,148.83,274.83,21.91157,17,2,7.000014487,,,0.261235612,,,0.032374133,,
ETL,2016,"3,113,644,076","2,440,916,343","814,266,424","54,372,196","616,865,403","239,918,653","1,855,913,517","3,976,527,948","1,001,486,441",672.73,0.06,1.85,1.24,94.15,8.02,90.98,177.11,22.103675,17,3,7.705397507,,,0.216058007,,,0.060333702,,
ETL,2017,"2,326,845,444","1,813,125,036","784,025,882","9,184,437","615,344,914","185,614,034","1,769,281,455","4,178,438,229","1,263,835,153",513.72,0.04,1.4,0.91,121.3,1.82,122.18,241.66,22.153203,17,4,7.977067599,7.449935277,,0.220779773,0.224518543,,0.044421869,0.048632584,
FAMILY TEX,2013,"2,061,790,199","1,452,036,511","469,483,496","186,584,407","499,169,814","517,069,388","997,463,273","2,309,092,560","373,329,112",609.75,0.22,2.67,1.33,81.97,46.26,123.76,159.47,21.56012,18,1,25.07866165,,,0.295739929,,,0.223927528,,
FAMILY TEX,2014,"3,236,789,457","2,245,564,632","909,839,386","236,302,304","662,404,979","921,824,221","1,612,630,090","3,278,354,395","257,409,566",991.22,0.28,6.26,3.69,101.19,37.88,106.19,169.5,21.910607,18,2,28.4795855,,,0.306237041,,,0.281185043,,
FAMILY TEX,2015,"3,276,998,567","2,319,510,973","1,312,130,173","101,921,530","1,155,137,970","911,986,977","2,506,538,595","4,127,527,472","194,595,696",957.49,0.22,12.88,6.94,144.15,15.82,179.28,307.61,22.140944,18,3,27.82994738,,,0.292184319,,,0.22095237,,
FAMILY TEX,2016,"2,191,600,971","1,941,125,603","1,290,104,498","53,843,405","1,203,914,531","175,095,412","2,634,191,975","4,307,828,103","122,607,720",250.48,0.04,21.48,11.67,211.92,9.99,223.28,425.21,22.1837,18,4,7.989383757,,,0.114288765,,,0.040645868,,
FAMILY TEX,2017,"1,305,188,432","1,210,479,495","1,461,801,337","56,247,468","1,105,123,796","-14,057,257","2,704,461,671","4,325,092,003","153,928,876",94.71,0,17.57,10.39,403.2,16.73,328.67,715.14,22.187699,18,5,-1.07702893,17.66010987,,0.07256342,0.216202695,,-0.003250164,0.152692129,
FEKDIL,2013,"2,316,680,977","1,795,236,539","505,220,413","1,767,876","439,312,264","231,659,133","1,316,043,224","2,674,460,070","545,399,958",521.44,0.09,2.41,1.61,78.51,0.35,88.1,166.25,21.707013,19,1,9.999613037,,,0.22508254,,,0.086619028,,
FEKDIL,2014,"2,678,222,296","2,069,079,206","655,041,493","1,196,210","533,189,830","241,870,048","5,698,673,794","7,161,020,402","5,108,882,063",609.14,0.03,1.12,1.01,88.05,0.21,92.77,180.61,22.691918,19,2,9.03099225,,,0.227443066,,,0.033775919,,
FEKDIL,2015,"2,760,228,469","2,111,153,595","858,995,714","1,234,657","676,947,068","314,661,131","2,185,696,937","3,769,238,909","784,022,193",649.07,0.08,2.79,1.92,112.03,0.21,115.43,227.26,22.050139,19,3,11.39982195,,,0.23515259,,,0.083481344,,
FEKDIL,2016,"3,139,465,706","2,360,829,586","1,127,452,794","589,416,927","797,061,934","294,010,592","2,481,364,954","4,293,567,683","918,808,476",778.64,0.07,2.7,1.83,129.28,89.88,121.54,160.95,22.180384,19,4,9.364988171,,,0.248015488,,,0.06847699,,
FEKDIL,2017,"3,275,288,788","2,609,418,756","1,162,351,661","529,080,373","901,074,907","349,483,957","2,594,051,224","4,433,822,730","823,544,472",665.87,0.08,3.15,2.06,127.76,72.99,124.31,179.08,22.212528,19,5,10.67032496,10.09314807,,0.203301167,0.22779897,,0.078822267,0.07023511,
GENNEXT,2013,"1,679,542,170","1,081,377,007","504,355,503","18,843,850","554,719,980","282,130,815","1,293,849,778","3,991,519,216","1,215,099,553",598.17,0.07,1.06,0.61,108.11,6.27,184.67,286.5,22.107438,20,1,16.79807867,,,0.356147749,,,0.070682565,,
GENNEXT,2014,"2,139,590,735","1,468,113,087","622,040,778","14,142,541","600,972,010","363,586,330","1,456,331,847","4,438,157,004","1,396,279,037",671.48,0.08,1.04,0.61,104.66,3.47,147.37,248.56,22.213505,20,2,16.9932653,,,0.313834621,,,0.081922818,,
GENNEXT,2015,"2,605,271,479","1,877,220,456","790,442,582","13,475,912","759,643,226","497,770,969","2,317,951,416","5,413,592,890","810,526,813",728.05,0.09,2.86,1.92,109.22,2.58,145.68,252.32,22.412179,20,3,19.1062994,,,0.279453035,,,0.091948357,,
GENNEXT,2016,"3,000,352,440","2,549,708,191","873,199,626","34,953,782","1,069,563,556","162,116,624","2,454,693,432","6,048,390,717","1,007,659,313",450.64,0.03,2.44,1.37,104.77,4.94,151.01,250.85,22.523058,20,4,5.403252693,,,0.150197105,,,0.026803266,,
GENNEXT,2017,"3,279,614,648","2,637,141,557","883,439,410","36,825,901","1,041,071,140","241,713,994","2,399,357,831","6,397,342,988","835,821,951",642.47,0.04,2.87,1.63,96.97,5.03,142.12,234.07,22.579149,20,5,7.370194975,13.13421821,,0.195898958,0.259106294,,0.037783498,0.061828101,
HFL,2013,"2,120,482,277","1,486,805,020","1,123,658,135","384,810,360","320,297,346","234,622,467","1,883,099,202","3,678,333,472","1,460,262,907",633.68,0.06,1.29,1.07,190.77,93.17,77.55,175.15,22.025726,21,1,11.06458043,,,0.298836384,,,0.063784991,,
HFL,2014,"2,198,620,623","1,536,430,904","1,363,623,312","167,547,434","337,064,242","272,587,691","1,847,012,120","3,490,459,262","1,106,756,347",662.19,0.08,1.67,1.36,223.28,39.26,78.98,263,21.973299,21,2,12.39812308,,,0.301184166,,,0.078095079,,
HFL,2015,"1,782,564,422","1,318,795,208","1,272,879,885","113,002,254","409,352,180","135,565,073","2,287,938,665","4,382,502,412","742,372,665",463.77,0.03,3.08,2.53,257.07,30.85,111.74,337.96,22.200886,21,3,7.605058831,,,0.260169679,,,0.030933257,,
HFL,2016,"1,371,915,641","959,039,840","894,087,274","239,909,761","479,700,776","92,146,149","1,501,891,541","4,772,968,965","718,140,978",412.88,0.02,2.09,1.42,234.61,90.06,180.07,324.63,22.286234,21,4,6.716604596,,,0.300948388,,,0.019305835,,
HFL,2017,"1,322,686,460","913,820,496","756,967,099","197,447,414","500,088,695","72,057,481","1,398,042,498","4,852,252,495","863,419,700",408.87,0.01,1.62,1.04,206.03,77.78,197.01,325.25,22.302709,21,5,5.447812704,8.646435929,,0.309117827,0.294051289,,0.014850316,0.041393895,
HR TEX,2013,"1,666,657,584","1,380,186,640","531,494,230","510,663,063","125,824,453","52,663,657","807,232,633","1,203,178,262","771,932,204",286.47,0.04,1.05,0.88,114.8,133.2,32.82,14.42,20.908232,22,1,3.15983664,,,0.171883503,,,0.043770453,,
HR TEX,2014,"1,780,820,020","1,560,884,821","340,320,542",435986098,"207,252,615","58,309,783","744,736,781","1,233,793,993","729,874,096",219.94,0.05,1.02,0.74,68.8,100.56,47.8,16.04,20.93336,22,2,3.274322073,,,0.123502205,,,0.04726055,,
HR TEX,2015,"1,550,954,308","1,368,282,941","200,993,885",657765900,"254,065,709","49,974,020","767,005,114","1,273,244,137","710,828,647",182.67,0.04,1.08,0.72,46.65,173.06,66.85,-59.56,20.964834,22,3,3.222146503,,,0.11777998,,,0.039249362,,
HR TEX,2016,"1,136,209,497","970,976,267","441,549,311","570,393,047","268,897,227","31,631,567","919,542,059","1,541,977,392","919,722,235",165.23,0.02,1,0.71,139.9,211.48,99.7,28.12,21.156331,22,4,2.783955519,,,0.145424968,,,0.020513639,,
HR TEX,2017,"1,658,245,382","1,417,026,861","308,746,156","588,826,909","318,011,364","36,286,448","853,304,298","1,508,259,814","890,659,733",241.22,0.02,0.96,0.6,67.03,149.59,80.79,-1.77,21.134222,22,5,2.188243573,2.925700862,,0.14546612,0.140811355,,0.024058486,0.034970498,
HWA WELL TEX,2013,"1,795,238,748","1,548,297,852","485,005,344","139,496,918","238,996,678","128,017,162","771,443,566","1,269,475,958","204,593,319",246.94,0.1,3.77,2.6,97.26,32.43,55.57,120.39,20.96187,23,1,7.130926855,,,0.137553234,,,0.100842526,,
HWA WELL TEX,2014,"1,936,777,486","1,669,519,999","530,979,850","145,634,059","336,892,611","157,912,155","1,204,442,031","1,681,185,335","250,129,791",267.26,0.09,4.82,3.47,98.7,31.4,72.64,139.94,21.242765,23,2,8.153345242,,,0.137990806,,,0.093929058,,
HWA WELL TEX,2015,"1,337,888,116","1,152,524,937","425,231,852","144,443,467","165,296,955","116,605,088","1,154,676,414","1,704,781,141","240,820,473",185.36,0.07,4.79,4.11,114.42,45.12,51.63,120.94,21.256703,23,3,8.715608324,,,0.138549089,,,0.068398861,,
HWA WELL TEX,2016,"1,269,701,080","1,094,268,996","506,187,551","179,728,752","120,441,809","112,888,195","1,079,019,650","1,891,870,883","279,397,291",175.43,0.06,3.86,3.43,143.52,59.13,39.62,124.02,21.360832,23,4,8.89092691,,,0.13816802,,,0.059670137,,
HWA WELL TEX,2017,"1,210,369,320","1,043,226,767","445,979,300","132,635,318","30,036,470","117,835,747","1,082,712,977","1,847,533,996","198,535,325",167.14,0.06,5.45,5.3,132.65,45.77,10.37,97.24,21.337118,23,5,9.735519982,8.525265463,,0.138092192,0.138070668,,0.063780016,0.077324119,
MAKSON SPIN,2013,"1,604,903,981","1,221,123,105","1,133,799,654","76,831,745","1,193,124,413","148,989,633","4,397,492,257","6,552,014,808","2,169,485,852",383.78,0.02,2.03,1.48,254.33,22.65,351.75,583.42,22.603038,24,1,9.283398556,,,0.239130117,,,0.022739514,,
MAKSON SPIN,2014,"1,894,869,606","1,420,967,225","1,159,153,629","30,807,078","1,337,868,346","157,989,442","4,306,558,575","6,715,416,267","2,247,359,960",473.9,0.02,1.92,1.32,220.22,7.8,338.95,551.37,22.627672,24,2,8.337747437,,,0.250097621,,,0.023526381,,
MAKSON SPIN,2015,"1,642,241,303","1,242,286,626","1,129,620,215","11,105,640","1,372,543,884","62,579,781","3,050,150,897","7,247,802,888","1,625,423,967",399.95,0.01,1.88,1.03,247.63,3.22,397.75,642.16,22.703964,24,3,3.810632511,,,0.243541967,,,0.008634311,,
MAKSON SPIN,2016,"2,048,384,544","1,673,163,560","1,543,601,312","11,465,837","1,585,590,666","88,460,493","3,757,993,418","8,291,567,036","2,515,186,999",375.22,0.01,1.49,0.86,271.29,2.47,341.16,609.98,22.838505,24,4,4.318549135,,,0.183178976,,,0.01066873,,
MAKSON SPIN,2017,"4,074,750,862","3,367,090,966","1,933,178,461","13,269,978","1,676,050,945","74,288,894","4,257,036,320","8,901,935,812","2,858,583,152",707.66,0.01,1.49,0.9,170.79,1.42,179.2,348.57,22.909535,24,5,1.823151808,5.514695889,,0.173669488,0.217923634,,0.008345252,0.014782838,
MALEKSPIN,2013,"7,737,869,878","6,566,163,598","3,273,459,578","887,016,882","2,997,282,138","549,181,846","6,847,016,089","15,477,399,087","4,855,125,924",1171.71,0.04,1.41,0.79,152.3,48.63,164.33,267.99,23.462647,25,1,7.097325939,,,0.151424914,,,0.035482825,,
MALEKSPIN,2014,"8,239,372,911","7,227,818,707","2,804,027,102","887,016,882","3,375,478,913","454,044,681","7,008,235,815","15,406,729,857","4,914,550,993",1011.55,0.03,1.43,0.74,122.52,44.18,168.12,246.46,23.45807,25,2,5.510670362,,,0.122770776,,,0.029470542,,
MALEKSPIN,2015,"8,297,896,015","7,396,018,441","2,861,288,832","887,016,882","3,219,844,567","397,753,467","6,949,968,530","15,374,431,097","4,129,060,291",901.88,0.03,1.68,0.9,124.14,43.18,156.73,237.69,23.455972,25,3,4.793425542,,,0.1086875,,,0.025871101,,
MALEKSPIN,2016,"9,779,925,200","8,800,381,234","2,990,668,997","847,464,770","3,674,958,784","296,039,379","7,572,897,695","15,872,579,999","5,029,770,587",979.54,0.02,1.51,0.77,110.09,34.67,150.33,225.75,23.487859,25,4,3.027010667,,,0.100158636,,,0.018650993,,
MALEKSPIN,2017,"9,774,991,342","8,856,775,340","2,582,346,695","919,923,177","3,202,773,360","204,025,858","6,970,305,344","15,458,507,758","4,900,092,073",918.22,0.01,1.42,0.77,95.1,37.39,130.18,187.9,23.461425,25,5,2.087222902,4.503131082,,0.093935224,0.11539541,,0.013198289,0.02453475,
MATIN SPIN,2013,"2,395,782,610","1,929,142,051","501,278,510","108,722,878","510,087,596","251,825,222","1,878,451,969","3,844,552,775","1,279,325,902",466.64,0.07,1.47,1.07,75.32,20.29,95.19,150.22,22.069923,26,1,10.51118833,,,0.194775835,,,0.065501825,,
MATIN SPIN,2014,"2,334,384,001","1,880,133,607","151,131,395","161,287,513","395,214,339","317,474,987","2,944,204,397","4,958,696,043","788,923,863",454.25,0.06,3.73,3.23,23.31,30.88,75.67,68.1,22.324409,26,2,13.599947,,,0.194591119,,,0.064023885,,
MATIN SPIN,2015,"2,029,007,454","1,632,998,934","197,132,598","173,452,887","294,334,139","415,930,642","3,040,375,762","5,718,248,038","1,449,610,707",396.01,0.07,2.1,1.89,34.98,38.24,64.89,61.63,22.466928,26,3,20.49921705,,,0.195173517,,,0.072737426,,
MATIN SPIN,2016,"2,005,184,987","1,630,537,415","213,010,407","97,128,165","504,040,074","294,475,299","1,778,543,291","6,092,055,524","1,213,925,838",374.65,0.05,1.47,1.05,38.24,21.44,111.29,128.08,22.530251,26,4,14.68569239,,,0.186839406,,,0.048337593,,
MATIN SPIN,2017,"3,001,195,559","2,553,849,138","749,144,849","120,497,736","1,035,416,638","261,333,228","2,618,794,908","7,076,727,570","2,262,387,340",447.35,0.04,1.16,0.7,89.86,16.99,145.96,218.83,22.680077,26,5,8.707637435,13.60073644,,0.149056072,0.18408719,,0.036928542,0.057505854,
METROSPIN,2013,"849,573,092","616,373,268","422,420,582","23,208,129","522,193,114","32,341,075","1,052,857,528","2,055,322,237","996,591,297",233.2,0.02,1.06,0.53,179,13.55,304.99,470.44,21.443698,27,1,3.80674427,,,0.274490596,,,0.015735282,,
METROSPIN,2014,"923,490,138","678,610,729","389,058,285","35,332,711","502,764,817","48,594,637","1,053,457,762","2,052,032,622","958,629,002",244.88,0.02,1.1,0.57,151.66,18.74,266.71,399.64,21.442097,27,2,5.262063448,,,0.265167324,,,0.023681221,,
METROSPIN,2015,"774,463,983","578,360,959","424,300,038","19,818,160","514,599,628","21,850,319","1,014,033,065","1,944,430,901","886,621,805",196.1,0.01,1.14,0.56,197.23,12.34,320.31,505.21,21.388235,27,3,2.821347342,,,0.25321129,,,0.011237385,,
METROSPIN,2016,"809,245,562","634,237,582","478,081,413","11,496,542","441,611,938","11,035,436","1,084,432,592","1,978,690,115","964,333,847",175.01,0.01,1.12,0.67,212.68,6.53,250.66,456.82,21.405701,27,4,1.363669635,,,0.216260661,,,0.005577142,,
METROSPIN,2017,"818,904,314","719,668,182","499,025,059","13,870,099","452,282,341","-38,726,058","1,153,145,880","2,098,806,013","1,086,908,172",99.24,-0.02,1.06,0.64,219.38,6.94,226.25,438.68,21.464634,27,5,-4.729008913,1.704963156,,0.121181596,0.226062293,,-0.018451471,0.007555912,
MHSML,2013,"390,042,096","290,395,556","90,374,070","15,087,496","250,827,813","27,587,073","602,327,542","1,276,144,675","314,046,112",99.65,0.02,1.92,1.12,83.41,18.7,310.95,375.66,20.967109,28,1,7.07284503,,,0.255476373,,,0.021617512,,
MHSML,2014,"982,322,640","741,703,624","383,100,847","15,087,496","305,591,342","132,898,391","806,469,915","1,441,252,468","287,835,612",240.62,0.09,2.8,1.74,140.4,7.32,148.32,281.4,21.088778,28,2,13.52899603,,,0.244949069,,,0.092210348,,
MHSML,2015,"1,134,470,479","856,214,279","437,215,251","15,087,496","326,136,767","175,948,274","927,335,956","1,638,919,752","261,751,388",278.26,0.11,3.54,2.3,138.74,6.34,137.13,269.52,21.217303,28,3,15.50928625,,,0.245274077,,,0.107356247,,
MHSML,2016,"1,061,069,970","809,639,719","525,093,162","18,550,199","312,681,632","154,373,254","1,006,291,727","1,750,479,350","244,943,224",251.43,0.09,4.11,2.83,178.15,8.25,139.03,308.94,21.283156,28,4,14.54882886,,,0.236959162,,,0.088189132,,
MHSML,2017,"1,147,562,431","903,289,890","639,652,959","5,620,029","300,687,974","150,934,445","1,135,828,131","1,877,306,244","243,366,172",244.27,0.08,4.67,3.43,200.66,2.24,119.84,318.26,21.353104,28,5,13.15261296,12.76251383,,0.212862093,0.239104155,,0.08039948,0.077954544,
NURANI,2016,"1,044,564,564","836,314,419","391,968,937","180,377,230","448,952,933","57,199,897","1,049,577,695","1,721,757,374","727,118,993",208.25,0.03,1.44,0.83,135.09,77.65,193.26,250.7,21.266611,29,1,5.475956104,,,0.199365508,,,0.03322181,,
NURANI,2017,"1,109,771,276","888,606,722","364,470,247","171,475,786","450,853,211","53,914,987","1,298,432,533","1,961,603,189","625,567,575",221.16,0.03,2.08,1.35,118.23,69.47,182.65,231.41,21.397028,29,2,4.858207107,5.167081605,,0.199288411,0.199326959,,0.027485165,0.030353488,
PDL,2014,"2,337,278,020","1,869,820,593","492,251,370","100,827,723","463,940,341","166,350,189","1,292,550,569","2,898,055,054","1,593,650,078",467.46,0.06,0.81,0.52,75.82,19.41,89.32,145.73,21.787306,30,1,7.117261514,,,0.20000078,,,0.057400631,,
PDL,2015,"1,517,655,259","1,121,189,659","639,830,436","80,267,390","463,521,241","106,236,088","1,284,075,244","3,281,511,417","1,321,084,457",396.47,0.03,0.97,0.62,151.77,25.77,148.83,274.83,21.91157,30,2,7.000014487,,,0.261235612,,,0.032374133,,
PDL,2016,"1,731,557,294","1,455,706,373","533,581,738","15,978,278","426,647,928","101,804,706","1,272,070,494","2,129,508,132","319,511,575",275.85,0.05,3.98,2.65,110.93,3.95,105.51,212.49,21.479157,30,3,5.879372652,,,0.159307995,,,0.047806676,,
PDL,2017,"1,900,357,135","1,569,930,792","609,738,876","11,201,200","488,217,070","134,168,394","1,905,146,777","2,990,819,716","364,458,978",330.43,0.04,5.23,3.89,115.51,2.57,111.95,224.89,21.818813,30,4,7.060167351,6.764204001,,0.173875919,0.198605076,,0.044860074,0.045610379,
PTL,2013,"2,972,663,954","2,353,972,712","1,237,396,206","745,186,122","968,402,594","180,353,430","2,339,327,731","3,933,145,530","2,395,670,665",618.69,0.05,0.98,0.57,149.85,113.96,148.1,183.99,22.092705,31,1,6.067064182,,,0.208126869,,,0.045854756,,
PTL,2014,"2,893,056,085","2,284,206,981","883,613,950","314,213,626","1,098,404,120","186,967,718","2,073,701,953","3,631,634,900","1,394,486,383",608.85,0.05,1.49,0.7,109.95,49.52,173.11,233.54,22.012949,31,2,6.462637174,,,0.210451884,,,0.051483071,,
PTL,2015,"2,935,282,617","2,352,555,145","871,933,026","195,109,953","986,901,537","193,993,676","2,195,207,780","4,100,596,502","1,724,802,408",582.73,0.05,1.27,0.7,106.94,29.86,151.02,228.1,22.134398,31,3,6.609028885,,,0.198525167,,,0.047308648,,
PTL,2016,"3,018,249,952","2,504,280,754","1,053,840,427","477,533,596","1,321,912,266","201,691,086","2,891,823,968","4,819,301,046","2,221,778,944",513.97,0.04,1.3,0.71,125.7,68.65,190.03,247.08,22.295895,31,4,6.682385131,,,0.170287155,,,0.041850692,,
PTL,2017,"3,351,654,004","2,787,961,443","1,078,085,282","560,377,784","1,516,133,364","224,930,662","3,250,820,298","5,652,998,239","2,937,731,036",563.69,0.04,1.11,0.59,115.8,72.36,195.77,239.21,22.455452,31,5,6.711034663,6.506430007,,0.168183399,0.191114895,,0.039789622,0.045257358,
REGENTTEX,2014,"1,348,903,633","1,067,220,000","484,203,881","494,743,158","278,907,306","133,270,105","1,069,878,594","2,708,810,005","748,947,792",281.68,0.05,1.43,1.06,129.23,166.89,94.08,56.42,21.719775,32,1,9.879883317,,,0.208824134,,,0.049198764,,
REGENTTEX,2015,"1,722,567,233","1,332,765,258","694,508,498","612,803,590","494,358,764","174,906,173","1,603,938,362","3,375,417,382","1,310,678,825",389.8,0.05,1.22,0.85,145.15,165.53,133.53,113.15,21.939785,32,2,10.1538082,,,0.226291298,,,0.051817643,,
REGENTTEX,2016,"2,004,431,936","1,535,535,039","549,312,830","360,772,743","388,610,546","212,460,870","2,767,536,763","4,655,132,312","1,031,074,937",468.9,0.05,2.68,2.31,98.66,84.58,91.11,105.18,22.261236,32,3,10.59955522,,,0.233930067,,,0.045640136,,
REGENTTEX,2017,"1,058,204,192","840,578,244","604,008,844",0,"399,684,058","137,000,682","3,211,296,858","5,433,835,547","1,099,734,601",217.63,0.03,2.92,2.56,205.48,0,171.18,376.66,22.415911,32,4,12.94652611,10.89494321,,0.205655912,0.218675353,,0.025212519,0.042967265,
TUNGHAI,2014,"997,743,832","798,343,097","344,013,906","23,546,616","401,567,544","147,566,658","785,357,142","1,348,015,240","599,391,156",199.4,0.11,1.31,0.64,124.13,10.62,181.08,294.59,21.021899,33,1,14.7900346,,,0.199851634,,,0.109469577,,
TUNGHAI,2015,"1,015,452,967","815,128,504","449,753,506","20,945,838","457,359,059","62,644,321","935,021,648","1,510,004,451","661,324,923",200.32,0.04,1.41,0.72,159.45,9.25,201.99,352.19,21.135378,33,2,6.169101183,,,0.197275964,,,0.041486183,,
TUNGHAI,2016,"1,078,749,342","861,718,405","499,480,254","134,053,742","470,881,989","88,300,997","1,171,331,529","1,842,538,648","522,307,068",217.03,0.05,2.24,1.34,166.69,56,196.72,307.4,21.33441,33,3,8.185497183,,,0.20118755,,,0.047923552,,
TUNGHAI,2017,"1,654,208,864","1,330,118,692",0,"3,062,382","507,375,760","160,901,884","1,264,883,988","1,975,490,675","526,494,989",324.09,0.08,2.4,1.44,0,0.83,137.32,136.49,21.404083,33,4,9.726817907,9.717862719,,0.195918532,0.19855842,,0.081449073,0.070082096,
